league,season,population,team,dimension,category,unit,source,off_n,off_freq,off_ppp,off_ppp_pctl,def_n,def_ppp,def_ppp_pctl
wbb,2026,Mountain West,FRES,shot_zone,paint,attempt,espn_derived,720,0.3614457831325301,0.7416666666666667,18,596,0.8523489932885906,64
wbb,2026,Mountain West,GCU,context,halfcourt,possession,espn_derived,1754,0.7642701525054466,0.7953249714937286,45,1838,0.8226332970620239,45
wbb,2026,Mountain West,GCU,context,second_chance,possession,espn_derived,290,0.12636165577342048,1.0862068965517242,64,238,1.0756302521008403,73
wbb,2026,Mountain West,GCU,context,transition,possession,espn_derived,251,0.10936819172113289,1.350597609561753,100,232,1.1594827586206897,27
wbb,2026,Mountain West,GCU,creation,assisted,made_fg,espn_derived,412,0.5597826086956522,2.4344660194174756,36,376,2.3643617021276597,0
wbb,2026,Mountain West,GCU,creation,unassisted,made_fg,espn_derived,324,0.44021739130434784,2.0617283950617282,45,374,2.053475935828877,9
wbb,2026,Mountain West,GCU,shot_zone,above_break_3,attempt,espn_derived,503,0.26970509383378016,0.8230616302186878,36,409,0.8728606356968215,45
wbb,2026,Mountain West,GCU,shot_zone,at_rim,attempt,espn_derived,471,0.2525469168900804,1.1464968152866242,64,490,1.0816326530612246,0
wbb,2026,Mountain West,GCU,shot_zone,corner_3,attempt,espn_derived,182,0.09758713136729223,1.0054945054945055,55,118,0.9661016949152542,36
wbb,2026,Mountain West,GCU,shot_zone,mid_range,attempt,espn_derived,229,0.12278820375335121,0.6026200873362445,27,287,0.6550522648083623,73
wbb,2026,Mountain West,GCU,shot_zone,paint,attempt,espn_derived,480,0.257372654155496,0.825,45,529,0.8846880907372401,73
wbb,2026,Mountain West,NEV,context,halfcourt,possession,espn_derived,1649,0.7727272727272727,0.758641600970285,18,1634,0.8408812729498164,64
wbb,2026,Mountain West,NEV,context,second_chance,possession,espn_derived,295,0.13823805060918462,1,45,279,0.9354838709677419,9
wbb,2026,Mountain West,NEV,context,transition,possession,espn_derived,190,0.08903467666354264,1.068421052631579,0,233,1.1330472103004292,9
wbb,2026,Mountain West,NEV,creation,assisted,made_fg,espn_derived,327,0.4808823529411765,2.2599388379204894,0,362,2.4226519337016574,27
wbb,2026,Mountain West,NEV,creation,unassisted,made_fg,espn_derived,353,0.5191176470588236,2.036827195467422,9,347,2.0835734870317,91
wbb,2026,Mountain West,NEV,shot_zone,above_break_3,attempt,espn_derived,316,0.17995444191343962,0.6265822784810127,0,502,0.8426294820717132,18
wbb,2026,Mountain West,NEV,shot_zone,at_rim,attempt,espn_derived,454,0.25854214123006836,1.105726872246696,45,443,1.1286681715575622,55
wbb,2026,Mountain West,NEV,shot_zone,corner_3,attempt,espn_derived,111,0.0632118451025057,0.8648648648648649,9,116,1.0603448275862069,82
wbb,2026,Mountain West,NEV,shot_zone,mid_range,attempt,espn_derived,381,0.21697038724373577,0.6089238845144357,36,233,0.721030042918455,91
wbb,2026,Mountain West,NEV,shot_zone,paint,attempt,espn_derived,494,0.28132118451025057,0.8704453441295547,73,476,0.8109243697478992,36
wbb,2026,Mountain West,SDSU,context,halfcourt,possession,espn_derived,1755,0.7941176470588235,0.947008547008547,100,1713,0.7723292469352014,18
wbb,2026,Mountain West,SDSU,context,second_chance,possession,espn_derived,226,0.10226244343891402,1.163716814159292,100,258,1.0232558139534884,55
wbb,2026,Mountain West,SDSU,context,transition,possession,espn_derived,229,0.10361990950226245,1.2925764192139737,82,239,1.3263598326359833,82
wbb,2026,Mountain West,SDSU,creation,assisted,made_fg,espn_derived,421,0.5146699266503667,2.534441805225653,82,354,2.4604519774011298,55
wbb,2026,Mountain West,SDSU,creation,unassisted,made_fg,espn_derived,397,0.48533007334963324,2.118387909319899,100,356,2.056179775280899,18
wbb,2026,Mountain West,SDSU,shot_zone,above_break_3,attempt,espn_derived,524,0.2809651474530831,1.036259541984733,91,463,0.9395248380129589,73
wbb,2026,Mountain West,SDSU,shot_zone,at_rim,attempt,espn_derived,389,0.20857908847184986,1.275064267352185,100,406,1.103448275862069,36
wbb,2026,Mountain West,SDSU,shot_zone,corner_3,attempt,espn_derived,230,0.12332439678284182,1.1869565217391305,91,107,1.0654205607476634,91
wbb,2026,Mountain West,SDSU,shot_zone,mid_range,attempt,espn_derived,291,0.15603217158176944,0.7010309278350515,73,331,0.6163141993957704,45
wbb,2026,Mountain West,SDSU,shot_zone,paint,attempt,espn_derived,431,0.23109919571045576,0.9095127610208816,91,545,0.7376146788990826,18
wbb,2026,Mountain West,SJSU,context,halfcourt,possession,espn_derived,1879,0.7982158028887001,0.6929217668972858,0,1705,0.886217008797654,100
wbb,2026,Mountain West,SJSU,context,second_chance,possession,espn_derived,258,0.10960067969413764,0.8410852713178295,9,391,1.1150895140664963,91
wbb,2026,Mountain West,SJSU,context,transition,possession,espn_derived,217,0.09218351741716228,1.1290322580645162,18,257,1.2801556420233462,64
wbb,2026,Mountain West,SJSU,creation,assisted,made_fg,espn_derived,345,0.5674342105263158,2.5739130434782607,91,502,2.5,91
wbb,2026,Mountain West,SJSU,creation,unassisted,made_fg,espn_derived,263,0.43256578947368424,2.091254752851711,82,322,2.0838509316770186,100
wbb,2026,Mountain West,SJSU,shot_zone,above_break_3,attempt,espn_derived,689,0.37794843664289635,0.7924528301886793,18,670,0.9985074626865672,91
wbb,2026,Mountain West,SJSU,shot_zone,at_rim,attempt,espn_derived,382,0.2095447065277016,1.0157068062827226,0,419,1.2028639618138426,82
wbb,2026,Mountain West,SJSU,shot_zone,corner_3,attempt,espn_derived,121,0.06637410861217773,0.9917355371900827,45,203,0.812807881773399,9
wbb,2026,Mountain West,SJSU,shot_zone,mid_range,attempt,espn_derived,267,0.14646187602852442,0.5842696629213483,18,377,0.7374005305039788,100
wbb,2026,Mountain West,SJSU,shot_zone,paint,attempt,espn_derived,364,0.19967087218869994,0.6263736263736264,0,465,0.6666666666666666,0
wbb,2026,Mountain West,UNLV,context,halfcourt,possession,espn_derived,1740,0.7736771898621609,0.9051724137931034,82,1726,0.8273464658169177,55
wbb,2026,Mountain West,UNLV,context,second_chance,possession,espn_derived,294,0.13072476656291684,1.1428571428571428,82,282,0.950354609929078,18
wbb,2026,Mountain West,UNLV,context,transition,possession,espn_derived,215,0.09559804357492219,1.241860465116279,55,233,1.2789699570815452,55
wbb,2026,Mountain West,UNLV,creation,assisted,made_fg,espn_derived,424,0.5326633165829145,2.4764150943396226,55,432,2.4814814814814814,73
wbb,2026,Mountain West,UNLV,creation,unassisted,made_fg,espn_derived,372,0.46733668341708545,2.0618279569892475,55,328,2.0701219512195124,45
wbb,2026,Mountain West,UNLV,shot_zone,above_break_3,attempt,espn_derived,539,0.2838335966298052,0.9962894248608535,82,590,0.9152542372881356,55
wbb,2026,Mountain West,UNLV,shot_zone,at_rim,attempt,espn_derived,272,0.14323328067403895,1.1397058823529411,55,317,1.1482649842271293,64
wbb,2026,Mountain West,UNLV,shot_zone,corner_3,attempt,espn_derived,125,0.06582411795681938,1.104,82,127,1.204724409448819,100
wbb,2026,Mountain West,UNLV,shot_zone,mid_range,attempt,espn_derived,280,0.1474460242232754,0.7285714285714285,91,283,0.5865724381625441,18
wbb,2026,Mountain West,UNLV,shot_zone,paint,attempt,espn_derived,683,0.3596629805160611,0.9194729136163983,100,640,0.825,45
wbb,2026,Mountain West,UNM,context,halfcourt,possession,espn_derived,1686,0.7440423654015887,0.863582443653618,64,1790,0.7955307262569833,36
wbb,2026,Mountain West,UNM,context,second_chance,possession,espn_derived,342,0.15092674315975288,1.0584795321637428,55,250,0.972,27
wbb,2026,Mountain West,UNM,context,transition,possession,espn_derived,238,0.10503089143865843,1.3445378151260505,91,215,1.172093023255814,36
wbb,2026,Mountain West,UNM,creation,assisted,made_fg,espn_derived,378,0.47368421052631576,2.5767195767195767,100,397,2.468513853904282,64
wbb,2026,Mountain West,UNM,creation,unassisted,made_fg,espn_derived,420,0.5263157894736842,2.057142857142857,36,307,2.0586319218241043,27
wbb,2026,Mountain West,UNM,shot_zone,above_break_3,attempt,espn_derived,603,0.30377833753148614,0.9800995024875622,73,553,0.9493670886075949,82
wbb,2026,Mountain West,UNM,shot_zone,at_rim,attempt,espn_derived,514,0.25894206549118387,1.093385214007782,27,411,1.099756690997567,27
wbb,2026,Mountain West,UNM,shot_zone,corner_3,attempt,espn_derived,184,0.09269521410579346,0.7336956521739131,0,115,0.7565217391304347,0
wbb,2026,Mountain West,UNM,shot_zone,mid_range,attempt,espn_derived,182,0.09168765743073048,0.6703296703296703,55,311,0.707395498392283,82
wbb,2026,Mountain West,UNM,shot_zone,paint,attempt,espn_derived,502,0.25289672544080605,0.852589641434263,55,417,0.7865707434052758,27
wbb,2026,Mountain West,USU,context,halfcourt,possession,espn_derived,1715,0.7958236658932715,0.7551020408163265,9,1567,0.8627951499680919,91
wbb,2026,Mountain West,USU,context,second_chance,possession,espn_derived,216,0.10023201856148492,0.9768518518518519,27,328,0.9725609756097561,36
wbb,2026,Mountain West,USU,context,transition,possession,espn_derived,224,0.10394431554524362,1.1205357142857142,9,261,1.3793103448275863,100
wbb,2026,Mountain West,USU,creation,assisted,made_fg,espn_derived,319,0.5007849293563579,2.4921630094043885,64,409,2.43520782396088,36
wbb,2026,Mountain West,USU,creation,unassisted,made_fg,espn_derived,318,0.49921507064364207,2.0628930817610063,64,357,2.0644257703081235,36
wbb,2026,Mountain West,USU,shot_zone,above_break_3,attempt,espn_derived,501,0.29161816065192087,0.7544910179640718,9,478,0.9163179916317992,64
wbb,2026,Mountain West,USU,shot_zone,at_rim,attempt,espn_derived,325,0.18917345750873107,1.2061538461538461,73,351,1.190883190883191,73
wbb,2026,Mountain West,USU,shot_zone,corner_3,attempt,espn_derived,152,0.08847497089639116,1.006578947368421,64,159,1.0377358490566038,73
wbb,2026,Mountain West,USU,shot_zone,mid_range,attempt,espn_derived,194,0.11292200232828871,0.5154639175257731,0,321,0.6417445482866043,64
wbb,2026,Mountain West,USU,shot_zone,paint,attempt,espn_derived,546,0.3178114086146682,0.7838827838827839,36,533,0.949343339587242,100
wbb,2026,Mountain West,WYO,context,halfcourt,possession,espn_derived,1609,0.8255515649050795,0.7607209446861405,27,1502,0.8615179760319573,82
wbb,2026,Mountain West,WYO,context,second_chance,possession,espn_derived,171,0.08773730118009236,0.9649122807017544,18,248,0.9798387096774194,45
wbb,2026,Mountain West,WYO,context,transition,possession,espn_derived,169,0.08671113391482811,1.2071005917159763,45,201,1.1393034825870647,18
wbb,2026,Mountain West,WYO,creation,assisted,made_fg,espn_derived,403,0.6521035598705501,2.411910669975186,27,323,2.4396284829721364,45
wbb,2026,Mountain West,WYO,creation,unassisted,made_fg,espn_derived,215,0.3478964401294498,2.055813953488372,27,352,2.0426136363636362,0
wbb,2026,Mountain West,WYO,shot_zone,above_break_3,attempt,espn_derived,543,0.34718670076726343,0.8674033149171271,45,455,0.843956043956044,27
wbb,2026,Mountain West,WYO,shot_zone,at_rim,attempt,espn_derived,307,0.19629156010230178,1.257328990228013,91,438,1.082191780821918,9
wbb,2026,Mountain West,WYO,shot_zone,corner_3,attempt,espn_derived,71,0.04539641943734015,0.8873239436619719,18,89,0.9775280898876404,45
wbb,2026,Mountain West,WYO,shot_zone,mid_range,attempt,espn_derived,279,0.17838874680306904,0.6523297491039427,45,269,0.6319702602230484,55
wbb,2026,Mountain West,WYO,shot_zone,paint,attempt,espn_derived,364,0.23273657289002558,0.8571428571428571,64,472,0.8305084745762712,55
