team_id,team_display_name,team_short_display_name,team_abbreviation,team_logo,games_played,total_pts,total_pts_allowed,total_fga,total_fgm,total_fta,total_tov,total_oreb,total_dreb,total_fga_opp,total_fgm_opp,total_fta_opp,total_tov_opp,total_oreb_opp,total_dreb_opp,possessions,ortg,drtg,net_rtg
194,Ohio State Buckeyes,Ohio State,OSU,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,33,2633,2402,1850,912,699,343,307,790,1896,833,665,350,338,691,2194.799617337512,119.96539361502461,109.44051479805891,10.524878816965696
152,NC State Wolfpack,NC State,NCSU,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,33,2762,2525,2006,939,706,305,325,814,1919,863,701,422,354,817,2301.854796139913,119.99019245834819,109.69414770359491,10.296044754753282
275,Wisconsin Badgers,Wisconsin,WIS,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,34,2822,2581,2106,947,672,304,353,854,2067,923,630,343,335,847,2341.5956618972523,120.51610984423782,110.22398281643437,10.292127027803446
26,UCLA Bruins,UCLA,UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,34,2643,2414,1984,934,656,302,339,759,1901,824,659,409,364,751,2225.82747967845,118.74235645530875,108.45404785588926,10.288308599419494
2653,Troy Trojans,Troy,TROY,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,33,2649,2412,2014,905,721,392,420,844,1996,865,633,420,378,769,2312.128267899003,114.56976832894776,104.31947195523668,10.25029637371108
338,Kennesaw State Owls,Kennesaw St,KENN,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,34,2834,2586,2106,940,918,404,473,898,2024,824,918,413,384,821,2457.097183629231,115.33935323689836,105.24614236789667,10.093210869001695
251,Texas Longhorns,Texas,TEX,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,32,2681,2458,1862,905,843,353,384,821,1864,837,761,302,295,674,2212.3133493996925,121.18536466488732,111.10541825672998,10.07994640815734
96,Kentucky Wildcats,Kentucky,UK,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,34,2746,2510,2057,955,771,357,406,869,2016,857,745,376,375,796,2350.464015313438,116.82799575358813,106.78742510615666,10.040570647431466
2634,Tennessee State Tigers,Tennessee St,TNST,https://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,32,2577,2347,2015,926,681,390,417,799,1823,809,710,469,317,760,2294.01061827957,112.33601010673013,102.3099013273169,10.026108779413235
222,Villanova Wildcats,Villanova,VILL,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,32,2469,2265,1912,873,598,324,369,734,1837,827,531,403,341,769,2134.7350176359996,115.65838287199526,106.10216168694583,9.556221185049424
