league,season,population,team,dimension,category,unit,source,off_n,off_freq,off_ppp,off_ppp_pctl,def_n,def_ppp,def_ppp_pctl
nba,2026,national,CHA,ball_security,no_turnover,possession,espn_derived,6972,0.8445790430042398,1.3888410786001149,14,7191,1.2957863996662495,21
nba,2026,national,CHA,context,halfcourt,possession,espn_derived,5829,0.7061175045427014,1.1204323211528564,93,5968,1.0631702412868633,28
nba,2026,national,CHA,context,second_chance,possession,espn_derived,1426,0.17274379164142944,1.167601683029453,90,1143,1.1216097987751532,59
nba,2026,national,CHA,context,transition,possession,espn_derived,1000,0.12113870381586916,1.496,59,1151,1.4708948740225891,38
nba,2026,national,CHA,creation,assisted,made_fg,espn_derived,2204,0.6416302765647743,2.5172413793103448,100,2186,2.4071363220494053,24
nba,2026,national,CHA,creation,unassisted,made_fg,espn_derived,1231,0.3583697234352256,2.1892770105605197,97,1269,2.145784081954295,97
nba,2026,national,CHA,shot_zone,above_break_3,attempt,espn_derived,2694,0.37261410788381744,1.145879732739421,79,2238,1.1179624664879357,55
nba,2026,national,CHA,shot_zone,at_rim,attempt,espn_derived,1692,0.23402489626556017,1.4562647754137117,24,1854,1.4843581445523193,38
nba,2026,national,CHA,shot_zone,corner_3,attempt,espn_derived,745,0.10304287690179806,1.385234899328859,100,585,1.235897435897436,55
nba,2026,national,CHA,shot_zone,mid_range,attempt,espn_derived,820,0.11341632088520055,0.5317073170731708,0,1064,0.6654135338345865,24
nba,2026,national,CHA,shot_zone,paint,attempt,espn_derived,1279,0.1769017980636238,0.9569976544175137,21,1344,0.9672619047619048,21
nba,2026,national,CHI,ball_security,dead_ball_to,possession,espn_derived,457,0.054340071343638524,0,52,383,0,100
nba,2026,national,CHI,ball_security,live_ball_to,possession,espn_derived,791,0.09405469678953626,0.0025284450063211127,31,662,0.0015105740181268882,86
nba,2026,national,CHI,ball_security,no_turnover,possession,espn_derived,7162,0.8516052318668252,1.305640882435074,31,7365,1.3346911065852003,38
