season,athlete_id,player,team,position,headshot_url,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_36,reb_total,rpg,reb_per_36,oreb_total,oreb_pg,oreb_per_36,dreb_total,dreb_pg,dreb_per_36,ast_total,apg,ast_per_36,stl_total,spg,stl_per_36,blk_total,bpg,blk_per_36,tov_total,tovpg,tov_per_36,fg_pct,fg3_pct,threepar,ft_pct,fta_rate,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile
2026,4399415,Maddy Siegrist,Wings,F,https://a.espncdn.com/i/headshots/wnba/players/full/4399415.png,9,2,131,14.56,60,6.67,16.49,30,3.33,8.24,10,1.11,2.75,20,2.22,5.5,8,0.89,2.2,3,0.33,0.82,3,0.33,0.82,1,0.11,0.27,0.42,0.39,0.32,1,0.09,0.48,0.51,0.21,0.1,0.02,0.09,0.2,0.56,0.33,0.41,0.43,0.13,0.02,0.63,0.61,0.7,0.98,0.44,0.06,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,4432830,Jordan Horston,Storm,F,https://a.espncdn.com/i/headshots/wnba/players/full/4432830.png,11,11,211,19.18,46,4.18,7.85,41,3.73,7,8,0.73,1.36,33,3,5.63,12,1.09,2.05,12,1.09,2.05,8,0.73,1.36,16,1.45,2.73,0.32,0.16,0.34,0.88,0.14,0.35,0.39,0.16,0.1,0.21,0.05,0.18,0.23,0.04,0.04,0.5,0.73,0.85,0.3,0.5,0.12,0.81,0.51,0.11,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,4432831,Aliyah Boston,Fever,C,https://a.espncdn.com/i/headshots/wnba/players/full/4432831.png,8,8,199,24.88,130,16.25,23.52,59,7.38,10.67,14,1.75,2.53,45,5.62,8.14,20,2.5,3.62,8,1,1.45,7,0.88,1.27,19,2.38,3.44,0.52,0.43,0.24,0.86,0.41,0.57,0.63,0.27,0.19,0.16,0.09,0.29,0.83,0.87,0.83,0.97,0.86,0.81,0.71,0.9,0.88,0.85,0.64,0.72,0.22,0.57,0.52,0.12,0.67,0.14,0.08,0.22,0.35,0.73,0.22,0.38,0.61,0.44,0.53,0.55,0.5,0.5,0.53,0.49,0.3,0.35,0.58,0.62
2026,4432832,Zia Cooke,Storm,G,https://a.espncdn.com/i/headshots/wnba/players/full/4432832.png,11,0,192,17.45,103,9.36,19.31,25,2.27,4.69,8,0.73,1.5,17,1.55,3.19,14,1.27,2.62,5,0.45,0.94,0,0,0,19,1.73,3.56,0.35,0.3,0.37,0.81,0.27,0.4,0.46,0.31,0.16,0.14,0.05,0.1,0.96,0.18,0.18,0.45,0.2,0.48,0.9,0.47,0.35,0.32,0.42,0.37,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,4432834,Laeticia Amihere,Valkyries,F,https://a.espncdn.com/i/headshots/wnba/players/full/4432834.png,9,0,116,12.89,40,4.44,12.41,36,4,11.17,17,1.89,5.28,19,2.11,5.9,14,1.56,4.34,2,0.22,0.62,8,0.89,2.48,7,0.78,2.17,0.42,0,0.03,0.55,0.67,0.42,0.47,0.19,0.2,0.14,0.16,0.2,0.44,0.13,0.18,0.9,0.08,0.53,0.95,0.66,0.01,0.1,0.1,0.99,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,4432844,Aubrey Griffin,Liberty,F,https://a.espncdn.com/i/headshots/wnba/players/full/4432844.png,2,0,7,3.5,2,1,10.29,1,0.5,5.14,0,0,0,1,0.5,5.14,0,0,0,0,0,0,0,0,0,1,0.5,5.14,1,NA,0,NA,0,1,1,0.13,0,0.5,0,0.16,0.09,1,1,0,0.01,1,0.01,0.4,NA,NA,0.04,0,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,4432865,Jacy Sheldon,Sky,G,https://a.espncdn.com/i/headshots/wnba/players/full/4432865.png,9,9,233,25.89,68,7.56,10.51,14,1.56,2.16,1,0.11,0.15,13,1.44,2.01,18,2,2.78,10,1.11,1.55,4,0.44,0.62,8,0.89,1.24,0.45,0.3,0.48,1,0.18,0.52,0.56,0.13,0.13,0.12,0,0.06,0.03,0.59,0.61,0.28,0.7,0.34,0.12,0.15,0.32,0.98,0.76,0.22,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,4433402,Angel Reese,Dream,F,https://a.espncdn.com/i/headshots/wnba/players/full/4433402.png,9,9,278,30.89,115,12.78,14.89,100,11.11,12.95,49,5.44,6.35,51,5.67,6.6,31,3.44,4.01,9,1,1.17,9,1,1.17,36,4,4.66,0.41,0.09,0.12,0.73,0.52,0.42,0.5,0.24,0.19,0.24,0.21,0.23,0.74,0.23,0.17,0.86,0.7,0.93,1,0.79,0.03,0.46,0.23,0.87,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,4433403,Caitlin Clark,Fever,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433403.png,8,8,237,29.62,158,19.75,24,35,4.38,5.32,2,0.25,0.3,33,4.12,5.01,65,8.12,9.87,9,1.12,1.37,7,0.88,1.06,35,4.38,5.32,0.39,0.32,0.5,0.93,0.36,0.47,0.55,0.33,0.49,0.2,0.01,0.18,0.99,0.51,0.38,0.99,0.71,0.83,0.26,0.95,0.48,0.91,0.79,0.69,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,4433404,Cameron Brink,Sparks,F,https://a.espncdn.com/i/headshots/wnba/players/full/4433404.png,9,1,164,18.22,83,9.22,18.22,40,4.44,8.78,12,1.33,2.63,28,3.11,6.15,12,1.33,2.63,6,0.67,1.32,14,1.56,3.07,28,3.11,6.15,0.54,0.32,0.35,0.76,0.46,0.59,0.64,0.25,0.12,0.3,0.09,0.22,0.79,0.86,0.82,0.66,0.37,0.99,0.66,0.74,0.39,0.56,0.54,0.81,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
