season,athlete_id,athlete_display_name,athlete_position_abbreviation,team_id,team_short_display_name,games_played,first_game_date,last_game_date,games_started,minutes_total,pts_total,fgm_total,fga_total,fg3m_total,fg3a_total,ftm_total,fta_total,oreb_total,dreb_total,reb_total,ast_total,stl_total,blk_total,tov_total,pf_total,team_minutes_total,team_fgm_total,team_fga_total,team_fg3a_total,team_ftm_total,team_fta_total,team_oreb_total,team_dreb_total,team_reb_total,team_tov_total,opp_oreb_total,opp_dreb_total,opp_reb_total,mpg,ppg,rpg,apg,spg,bpg,tovpg,oreb_pg,dreb_pg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,pts_per_36,reb_per_36,ast_per_36,stl_per_36,blk_per_36,tov_per_36,oreb_per_36,dreb_per_36,usg_weight,usage,ast_denom,ast_pct,tov_denom,tov_pct,oreb_chances,oreb_pct,dreb_chances,dreb_pct,threepar,fta_rate,ts_weight,efg_weight,ast_weight,stl_weight,tov_weight,oreb_weight,dreb_weight,fg3_weight,ft_weight,threepar_weight,fta_rate_weight,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile,headshot_url
2026,869,DeWanna Bonner,F,20,Dream,38,2026-05-09,2026-08-30,26,1038,400,133,335,45,171,89,105,32,197,229,59,44,29,31,63,8034,1254,2855,1092,770,979,437,985,1422,524,258,967,1225,27.31578947368421,10.526315789473685,6.026315789473684,1.5526315789473684,1.1578947368421053,0.7631578947368421,0.8157894736842105,0.8421052631578947,5.184210526315789,0.3970149253731343,0.2631578947368421,0.8476190476190476,0.46417910447761196,0.5246589716684156,13.872832369942197,7.942196531791907,2.046242774566474,1.5260115606936415,1.0057803468208093,1.0751445086705202,1.1098265895953756,6.832369942196531,412.2,0.1674845841638743,677.0896191187454,0.08713765258547378,412.2,0.07520621057738962,906.990291262136,0.03528152429886534,802.9835698282301,0.24533503224996395,0.5104477611940299,0.31343283582089554,381.2,335,677.0896191187454,1038,412.2,906.990291262136,802.9835698282301,171,105,335,335,0.27783612533634233,0.3289266850312113,0.16928709885849666,0.31259382254397294,0.7767959869299094,0.06061539796892631,0.17579388735672247,0.8556633498637586,0.22015915119363394,0.8697566628041715,0.7803144518630196,0.5617057936678871,0.20109525277908555,0.5576019105865703,0.517768684040491,0.12420123916161148,0.8692183950177319,0.141372276712091,0.07306816022078576,0.18544112394679418,0.3297966401414677,0.747856315179606,0.32479000646133965,0.3097853399382583,0.48257248911195416,0.4131951780434178,0.48278876487058314,0.6239137397863301,0.5937270061966523,0.5531904399638512,0.6316023323871088,0.5313139682280483,0.4814167576845061,0.5735587212868926,0.48200833639507923,0.518404682570853,https://a.espncdn.com/i/headshots/wnba/players/full/869.png
2026,887,Sami Whitcomb,G,11,Mercury,17,2026-07-09,2026-08-29,6,283,86,27,83,21,65,11,11,6,23,29,34,11,1,19,30,8033,1166,2623,963,720,915,276,986,1262,518,312,1051,1363,16.647058823529413,5.0588235294117645,1.7058823529411764,2,0.6470588235294118,0.058823529411764705,1.1176470588235294,0.35294117647058826,1.3529411764705883,0.3253012048192771,0.3230769230769231,1,0.45180722891566266,0.48952641165755917,10.939929328621908,3.6890459363957597,4.3250883392226145,1.3992932862190812,0.127208480565371,2.4169611307420493,0.7632508833922261,2.9257950530035335,106.84,0.17116324577788575,178.38902029129838,0.19059468987766218,106.84,0.177836016473231,233.74891074318435,0.025668568811394763,228.64060749408688,0.10059455427485613,0.7831325301204819,0.13253012048192772,87.84,83,178.38902029129838,283,106.84,233.74891074318435,228.64060749408688,65,11,83,83,0.1754611046879431,0.11524436582390844,0.1667415326565448,0.515010710357414,0.2748448929721839,0.7495309875439017,0.555168021666799,0.44513389573209144,0.30631092868137505,0.9951150330917113,0.9825711975563741,0.10331506603180307,0.2183536305952321,0.5562930665627853,0.5086021022369958,0.20407717661994423,0.9321540309446514,0.14602102920965948,0.02842820220032798,0.10533290196586335,0.3444843509492047,0.8241411913016073,0.43774144281735694,0.28505974305992277,0.5460825766956455,0.4364687932383934,0.5026784259565209,0.5408217699467427,0.5556928965566764,0.5279163627113468,0.6233298955152561,0.5119662601648649,0.4994043012061814,0.453301692778582,0.6053406351782851,0.544010543161639,https://a.espncdn.com/i/headshots/wnba/players/full/887.png
2026,924,Alysha Clark,F,3,Wings,27,2026-05-09,2026-08-30,1,311,66,20,50,12,33,14,21,10,35,45,18,5,4,15,52,8051,1325,2836,952,584,738,340,1031,1371,438,336,1006,1342,11.518518518518519,2.4444444444444446,1.6666666666666667,0.6666666666666666,0.18518518518518517,0.14814814814814814,0.5555555555555556,0.37037037037037035,1.2962962962962963,0.4,0.36363636363636365,0.6666666666666666,0.52,0.5570560432140446,7.639871382636656,5.209003215434084,2.0836012861736335,0.5787781350482315,0.4630225080385852,1.7363344051446945,1.157556270096463,4.051446945337621,74.24000000000001,0.10680936644569017,235.91541423425662,0.07629853292301861,74.24000000000001,0.20204741379310343,259.97143212023354,0.038465764943646286,264.0274500062104,0.1325619741401007,0.66,0.42,59.24,50,235.91541423425662,311,74.24000000000001,259.97143212023354,264.0274500062104,33,21,50,50,0.024362034545612362,0.3746442922489828,0.5132457462847297,0.16170885851969324,0.02604813843250955,0.9272806180019095,0.18591590053502055,0.2129923319430741,0.6717506631299734,0.18609501738122827,0.9734367147677507,0.7511666307703353,0.20109525277908555,0.5576019105865703,0.517768684040491,0.12420123916161148,0.8692183950177319,0.141372276712091,0.07306816022078576,0.18544112394679418,0.3297966401414677,0.747856315179606,0.32479000646133965,0.3097853399382583,0.48257248911195416,0.4131951780434178,0.48278876487058314,0.6239137397863301,0.5937270061966523,0.5531904399638512,0.6316023323871088,0.5313139682280483,0.4814167576845061,0.5735587212868926,0.48200833639507923,0.518404682570853,https://a.espncdn.com/i/headshots/wnba/players/full/924.png
2026,981,Courtney Vandersloot,G,19,Sky,23,2026-06-26,2026-08-29,20,507,208,71,164,22,57,44,58,10,55,65,120,27,7,46,37,8057,1232,2791,931,708,924,317,1015,1332,505,365,1110,1475,22.043478260869566,9.043478260869565,2.8260869565217392,5.217391304347826,1.173913043478261,0.30434782608695654,2,0.43478260869565216,2.391304347826087,0.4329268292682927,0.38596491228070173,0.7586206896551724,0.5,0.5487547488391726,14.76923076923077,4.615384615384615,8.520710059171599,1.9171597633136095,0.4970414201183432,3.2662721893491122,0.7100591715976331,3.905325443786982,235.52,0.20217203735235337,316.6281494352737,0.37899346667069106,235.52,0.1953125,448.9816308799802,0.02227262612147524,434.19386868561503,0.12667152616985392,0.3475609756097561,0.35365853658536583,189.52,164,316.6281494352737,507,235.52,448.9816308799802,434.19386868561503,57,58,164,164,0.45038693527628104,0.39324601344922056,0.44394034677926514,0.9586291408554856,0.743212579933673,0.8333765079295826,0.35148817907071805,0.7863528489903668,0.7600820933812211,0.11786952410967538,0.24521606324678824,0.7278321803970892,0.2183536305952321,0.5562930665627853,0.5086021022369958,0.20407717661994423,0.9321540309446514,0.14602102920965948,0.02842820220032798,0.10533290196586335,0.3444843509492047,0.8241411913016073,0.43774144281735694,0.28505974305992277,0.5460825766956455,0.4364687932383934,0.5026784259565209,0.5408217699467427,0.5556928965566764,0.5279163627113468,0.6233298955152561,0.5119662601648649,0.4994043012061814,0.453301692778582,0.6053406351782851,0.544010543161639,https://a.espncdn.com/i/headshots/wnba/players/full/981.png
2026,1054,Tiffany Hayes,G,129689,Valkyries,38,2026-05-08,2026-08-30,2,632,340,111,239,24,80,94,116,21,58,79,91,30,8,43,77,8000,1156,2720,1223,569,731,363,952,1315,413,314,983,1297,16.63157894736842,8.947368421052632,2.0789473684210527,2.3947368421052633,0.7894736842105263,0.21052631578947367,1.131578947368421,0.5526315789473685,1.5263157894736843,0.46443514644351463,0.3,0.8103448275862069,0.5146443514644351,0.5861260515790925,19.367088607594937,4.5,5.1835443037974684,1.7088607594936709,0.45569620253164556,2.449367088607595,1.1962025316455696,3.3037974683544302,333.04,0.24405994271655776,345.62,0.26329494820901567,333.04,0.12911361998558732,531.6700000000001,0.039498184964357586,500.07000000000005,0.11598376227328173,0.33472803347280333,0.48535564853556484,290.04,239,345.62,632,333.04,531.6700000000001,500.07000000000005,80,116,239,239,0.6810210837459915,0.6641350925033048,0.5091635971610816,0.7217211220150683,0.3473604036749655,0.3728553587399926,0.8040819078770629,0.6149894631134042,0.18850692662904053,0.37645761109360226,0.23174018506872698,0.955439762824544,0.2183536305952321,0.5562930665627853,0.5086021022369958,0.20407717661994423,0.9321540309446514,0.14602102920965948,0.02842820220032798,0.10533290196586335,0.3444843509492047,0.8241411913016073,0.43774144281735694,0.28505974305992277,0.5460825766956455,0.4364687932383934,0.5026784259565209,0.5408217699467427,0.5556928965566764,0.5279163627113468,0.6233298955152561,0.5119662601648649,0.4994043012061814,0.453301692778582,0.6053406351782851,0.544010543161639,https://a.espncdn.com/i/headshots/wnba/players/full/1054.png
2026,1068,Nneka Ogwumike,F,6,Sparks,40,2026-05-10,2026-08-30,39,1228,681,268,518,54,138,91,107,69,286,355,120,46,13,74,66,8029,1266,2726,1042,615,788,295,951,1246,580,383,1045,1428,30.7,17.025,8.875,3,1.15,0.325,1.85,1.725,7.15,0.5173745173745173,0.391304347826087,0.8504672897196262,0.5694980694980695,0.6025695476746655,19.964169381107492,10.407166123778502,3.517915309446254,1.3485342019543973,0.3811074918566775,2.1693811074918568,2.022801302931596,8.384364820846905,639.08,0.22878730930813915,700.1454726616017,0.1713929528728083,639.08,0.1157914502096764,1024.735334412754,0.06733445962370557,1020.1469672437414,0.28035176222963437,0.26640926640926643,0.20656370656370657,565.08,518,700.1454726616017,1228,639.08,1024.735334412754,1020.1469672437414,138,107,518,518,0.7103853832132628,0.8341934342540879,0.8610811975016154,0.8613010587749538,0.7299461549081873,0.3161314122038018,0.5917491159594284,0.9298906945515681,0.8129973474801061,0.9098493626882966,0.43506353650656904,0.27044296072941343,0.20109525277908555,0.5576019105865703,0.517768684040491,0.12420123916161148,0.8692183950177319,0.141372276712091,0.07306816022078576,0.18544112394679418,0.3297966401414677,0.747856315179606,0.32479000646133965,0.3097853399382583,0.48257248911195416,0.4131951780434178,0.48278876487058314,0.6239137397863301,0.5937270061966523,0.5531904399638512,0.6316023323871088,0.5313139682280483,0.4814167576845061,0.5735587212868926,0.48200833639507923,0.518404682570853,https://a.espncdn.com/i/headshots/wnba/players/full/1068.png
2026,2284331,Emma Cannon,F,6,Sparks,16,2026-05-10,2026-08-22,0,108,61,18,36,10,20,15,19,9,13,22,5,1,2,14,24,8029,1266,2726,1042,615,788,295,951,1246,580,383,1045,1428,6.75,3.8125,1.375,0.3125,0.0625,0.125,0.875,0.5625,0.8125,0.5,0.5,0.7894736842105263,0.6388888888888888,0.6875563570784491,20.333333333333332,7.333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,4.666666666666667,3,4.333333333333333,58.36,0.2375563253522692,67.14634450118321,0.07446421748114514,58.36,0.23989033584647018,90.12330302652883,0.099863184079602,89.7197658487981,0.14489560775167973,0.5555555555555556,0.5277777777777778,44.36,36,67.14634450118321,108,58.36,90.12330302652883,89.7197658487981,20,19,36,36,0.7299084280878396,0.9982966463645783,0.9971282934884055,0.15100835539567764,0.0054995627962630585,0.9854938807395193,0.7557995270285934,0.2672409169280832,0.9938107869142352,0.6282734646581691,0.8515327733505635,0.9608012061167349,0.20109525277908555,0.5576019105865703,0.517768684040491,0.12420123916161148,0.8692183950177319,0.141372276712091,0.07306816022078576,0.18544112394679418,0.3297966401414677,0.747856315179606,0.32479000646133965,0.3097853399382583,0.48257248911195416,0.4131951780434178,0.48278876487058314,0.6239137397863301,0.5937270061966523,0.5531904399638512,0.6316023323871088,0.5313139682280483,0.4814167576845061,0.5735587212868926,0.48200833639507923,0.518404682570853,https://a.espncdn.com/i/headshots/wnba/players/full/2284331.png
2026,2327695,Rebekah Gardner,G,9,Liberty,39,2026-05-08,2026-08-29,2,579,209,79,158,10,42,41,44,38,59,97,48,21,8,23,64,8250,1270,2758,1191,731,861,338,1115,1453,554,329,958,1287,14.846153846153847,5.358974358974359,2.4871794871794872,1.2307692307692308,0.5384615384615384,0.20512820512820512,0.5897435897435898,0.9743589743589743,1.5128205128205128,0.5,0.23809523809523808,0.9318181818181818,0.5316455696202531,0.5891971132160577,12.994818652849741,6.0310880829015545,2.9844559585492227,1.305699481865285,0.49740932642487046,1.4300518134715026,2.3626943005181347,3.66839378238342,200.36,0.1547003102990779,366.6545454545454,0.13091341862540912,200.36,0.11479337193052505,454.7781818181818,0.08355721870402355,506.71272727272725,0.11643678325893819,0.26582278481012656,0.27848101265822783,177.36,158,366.6545454545454,579,200.36,454.7781818181818,506.71272727272725,42,44,158,158,0.08373644772147204,0.6821727579842772,0.6610367442278322,0.26287116850562375,0.2006950064264293,0.33430362557535825,0.9859755892853921,0.6616168205534769,0.04607491021036429,0.9541443428931611,0.0983289911059204,0.49600215614050847,0.2183536305952321,0.5562930665627853,0.5086021022369958,0.20407717661994423,0.9321540309446514,0.14602102920965948,0.02842820220032798,0.10533290196586335,0.3444843509492047,0.8241411913016073,0.43774144281735694,0.28505974305992277,0.5460825766956455,0.4364687932383934,0.5026784259565209,0.5408217699467427,0.5556928965566764,0.5279163627113468,0.6233298955152561,0.5119662601648649,0.4994043012061814,0.453301692778582,0.6053406351782851,0.544010543161639,https://a.espncdn.com/i/headshots/wnba/players/full/2327695.png
2026,2490553,Brittney Griner,C,18,Sun,18,2026-05-08,2026-08-13,18,455,238,97,184,1,4,43,64,35,70,105,45,8,32,32,48,8025,1162,2745,792,603,852,369,931,1300,542,311,1038,1349,25.27777777777778,13.222222222222221,5.833333333333333,2.5,0.4444444444444444,1.7777777777777777,1.7777777777777777,1.9444444444444444,3.888888888888889,0.5271739130434783,0.25,0.671875,0.529891304347826,0.5608974358974359,18.83076923076923,8.307692307692308,3.5604395604395602,0.6329670329670329,2.5318681318681318,2.5318681318681318,2.769230769230769,5.538461538461538,244.16,0.23519822940885343,232.41433021806853,0.19361973058106025,244.16,0.1310615989515072,398.86915887850466,0.0877480728226997,352.0934579439252,0.19881085098476403,0.021739130434782608,0.34782608695652173,212.16,184,232.41433021806853,455,244.16,398.86915887850466,352.0934579439252,4,64,184,184,0.5851332476674674,0.3749715289753685,0.3259481787457754,1,0.2858656775731885,0.34600815688027264,0.6899316944818625,0.375906980453607,0.04010238907849829,0.13458445040214478,0.2444611340593316,0.46207285016898236,0.2301817032026182,0.5835746591611622,0.5419639504318438,0.12732307217240074,0.6806470117654635,0.14148835130454215,0.08404596441834357,0.22810925115503222,0.35238907849829354,0.7512064343163539,0.22005257228689448,0.35016898235073224,0.5655136617832318,0.4125217927981165,0.400021804174288,0.5422970364883264,0.6292608719804802,0.4351423489147889,0.523775153269908,0.46241091424709707,0.3113508752614775,0.5153506875378362,0.586265792884571,0.4794253388732087,https://a.espncdn.com/i/headshots/wnba/players/full/2490553.png
2026,2491205,Skylar Diggins,G,19,Sky,19,2026-05-09,2026-07-03,19,553,269,87,222,26,68,69,89,13,47,60,93,18,11,33,41,8057,1232,2791,931,708,924,317,1015,1332,505,365,1110,1475,29.105263157894736,14.157894736842104,3.1578947368421053,4.894736842105263,0.9473684210526315,0.5789473684210527,1.736842105263158,0.6842105263157895,2.473684210526316,0.3918918918918919,0.38235294117647056,0.7752808988764045,0.45045045045045046,0.5150099555827844,17.511754068716094,3.905967450271248,6.054249547920434,1.1717902350813743,0.7160940325497287,2.148282097649186,0.8462929475587704,3.059674502712477,294.16,0.23150466129763658,335.7975673327541,0.27695257216632213,294.16,0.1121838455262442,489.71763683753255,0.026545909361056656,473.5881841876629,0.09924234085488902,0.3063063063063063,0.4009009009009009,261.16,222,335.7975673327541,553,294.16,489.71763683753255,473.5881841876629,68,89,222,222,0.5987284854169848,0.28926521019995016,0.152052825442458,0.7621377555058612,0.5606702527728852,0.31076710804738117,0.5995622252355101,0.43827794505034967,0.7247819394561313,0.1714465805231642,0.19252537957056867,0.8506872697870811,0.2183536305952321,0.5562930665627853,0.5086021022369958,0.20407717661994423,0.9321540309446514,0.14602102920965948,0.02842820220032798,0.10533290196586335,0.3444843509492047,0.8241411913016073,0.43774144281735694,0.28505974305992277,0.5460825766956455,0.4364687932383934,0.5026784259565209,0.5408217699467427,0.5556928965566764,0.5279163627113468,0.6233298955152561,0.5119662601648649,0.4994043012061814,0.453301692778582,0.6053406351782851,0.544010543161639,https://a.espncdn.com/i/headshots/wnba/players/full/2491205.png
