season,athlete_id,athlete_display_name,athlete_position_abbreviation,team_id,team_short_display_name,games_played,games_started,minutes_total,pts_total,fgm_total,fga_total,fg3m_total,fg3a_total,ftm_total,fta_total,oreb_total,dreb_total,reb_total,ast_total,stl_total,blk_total,tov_total,pf_total,team_minutes_total,team_fgm_total,team_fga_total,team_fg3a_total,team_ftm_total,team_fta_total,team_oreb_total,team_dreb_total,team_reb_total,team_tov_total,opp_oreb_total,opp_dreb_total,opp_reb_total,mpg,ppg,rpg,apg,spg,bpg,tovpg,oreb_pg,dreb_pg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,pts_per_36,reb_per_36,ast_per_36,stl_per_36,blk_per_36,tov_per_36,oreb_per_36,dreb_per_36,usg_weight,usage,ast_denom,ast_pct,tov_denom,tov_pct,oreb_chances,oreb_pct,dreb_chances,dreb_pct,threepar,fta_rate,ts_weight,efg_weight,ast_weight,stl_weight,tov_weight,oreb_weight,dreb_weight,fg3_weight,ft_weight,threepar_weight,fta_rate_weight,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile,headshot_url
2026,869,DeWanna Bonner,F,11,Mercury,11,6,279,86,30,89,6,43,20,21,8,44,52,11,10,6,10,20,2198,296,718,267,228,282,89,267,356,139,79,301,380,25.363636363636363,7.818181818181818,4.7272727272727275,1,0.9090909090909091,0.5454545454545454,0.9090909090909091,0.7272727272727273,4,0.33707865168539325,0.13953488372093023,0.9523809523809523,0.3707865168539326,0.4377035830618893,11.096774193548388,6.709677419354839,1.4193548387096775,1.2903225806451613,0.7741935483870968,1.2903225806451613,1.032258064516129,5.67741935483871,108.24,0.17383484779336883,157.86169244767967,0.0696812496397487,108.24,0.09238728750923873,247.5204731574158,0.03232055877217168,219.59508644222018,0.20036878198354985,0.48314606741573035,0.23595505617977527,98.24,89,157.86169244767967,279,108.24,247.5204731574158,219.59508644222018,43,21,89,89,0.3490578949769606,0.09662800687285224,0.10141364474492932,0.20246721168923154,0.5824870664878329,0.1423422601396049,0.15842786681176063,0.6395995205631696,0.08716026241799438,0.9644859813084112,0.7624462200368777,0.3337430854333128,0.20098584361301935,0.5537210051546392,0.512138905961893,0.12475397702274563,0.8699373501251256,0.15032620101281993,0.07774783134386844,0.1844192974153495,0.3270852858481724,0.7401869158878505,0.3279041180086048,0.3288260602335587,0.5208236385479872,0.49686569301260025,0.5184921122720754,0.6507351915172096,0.5044925592386792,0.5921801785361254,0.599145201099469,0.5291608678754232,0.42575445173383314,0.4660934579439253,0.44784265519360783,0.5245564433517722,https://a.espncdn.com/i/headshots/wnba/players/full/869.png
2026,924,Alysha Clark,F,3,Wings,7,0,68,20,5,11,4,10,6,8,3,8,11,2,2,1,3,12,1798,287,635,221,138,177,81,220,301,90,61,234,295,9.714285714285714,2.857142857142857,1.5714285714285714,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855,1.1428571428571428,0.45454545454545453,0.4,0.75,0.6363636363636364,0.6887052341597797,10.588235294117647,5.823529411764706,1.0588235294117647,1.0588235294117647,0.5294117647058824,1.588235294117647,1.588235294117647,4.235294117647059,17.52,0.11539692401472347,49.27141268075639,0.04059148888136359,17.52,0.17123287671232876,59.566184649610676,0.050364145658263304,53.13681868743048,0.15055474146954156,0.9090909090909091,0.7272727272727273,14.52,11,49.27141268075639,68,17.52,59.566184649610676,53.13681868743048,10,8,11,11,0.0405584196359323,0.9550794673539519,0.923478795328826,0.08553719119952201,0.09724085073768922,0.6930060677950636,0.36554438280598073,0.3008034775783559,0.7132146204311153,0.4953271028037383,0.9984634296250768,0.9895513214505224,0.20098584361301935,0.5537210051546392,0.512138905961893,0.12475397702274563,0.8699373501251256,0.15032620101281993,0.07774783134386844,0.1844192974153495,0.3270852858481724,0.7401869158878505,0.3279041180086048,0.3288260602335587,0.5208236385479872,0.49686569301260025,0.5184921122720754,0.6507351915172096,0.5044925592386792,0.5921801785361254,0.599145201099469,0.5291608678754232,0.42575445173383314,0.4660934579439253,0.44784265519360783,0.5245564433517722,https://a.espncdn.com/i/headshots/wnba/players/full/924.png
2026,1054,Tiffany Hayes,G,129689,Valkyries,8,1,118,59,19,41,4,11,17,20,1,10,11,16,4,0,5,16,2000,292,717,319,157,204,98,237,335,97,88,269,357,14.75,7.375,1.375,2,0.5,0,0.625,0.125,1.25,0.4634146341463415,0.36363636363636365,0.85,0.5121951219512195,0.5923694779116466,18,3.3559322033898304,4.88135593220339,1.2203389830508475,0,1.5254237288135593,0.3050847457627119,3.0508474576271185,54.8,0.20554429479552844,67.14,0.23830801310694072,54.8,0.09124087591240876,108.265,0.0092365953909389,95.875,0.10430247718383312,0.2682926829268293,0.4878048780487805,49.8,41,67.14,118,54.8,108.265,95.875,11,20,41,41,0.4632497189587145,0.7018235168102412,0.598158379373849,0.6211886004271454,0.20369410239792612,0.08806511340842463,0.20734251900582523,0.4976759623103653,0.6499125874125874,0.6602525556223692,0.16795580110497238,0.920073664825046,0.22213637643936943,0.5456268704192985,0.49281767955801103,0.20159915392003824,0.9192844120306856,0.1511285736328168,0.026978910525859517,0.1102015928408422,0.3339160839160839,0.82501503307276,0.42136279926335174,0.30626151012891345,0.5414786656878927,0.4817975854439699,0.49520620570344326,0.5353616282620299,0.5497659681716713,0.5460117297025181,0.541234652214206,0.5142351181195609,0.5703803771985589,0.423799024520612,0.5663039232100006,0.51635321911565,https://a.espncdn.com/i/headshots/wnba/players/full/1054.png
2026,1068,Nneka Ogwumike,F,6,Sparks,8,8,256,122,44,87,11,22,23,30,13,46,59,16,9,3,13,16,1802,275,585,219,165,209,69,194,263,142,84,212,296,32,15.25,7.375,2,1.125,0.375,1.625,1.625,5.75,0.5057471264367817,0.5,0.7666666666666667,0.5689655172413793,0.6087824351297405,17.15625,8.296875,2.25,1.265625,0.421875,1.828125,1.828125,6.46875,113.2,0.19459360042004492,151.33851276359604,0.10572325383554809,113.2,0.11484098939929328,199.6004439511654,0.06513011565836298,197.46947835738072,0.2329473920863309,0.25287356321839083,0.3448275862068966,100.2,87,151.33851276359604,256,113.2,199.6004439511654,197.46947835738072,22,30,87,87,0.4723116930516903,0.7705326460481099,0.7728948985863553,0.5479224161021353,0.8042728492048286,0.2915735206898125,0.5407128113291644,0.8207518374262617,0.9475164011246485,0.6401869158878505,0.4167178856791641,0.5792870313460357,0.20098584361301935,0.5537210051546392,0.512138905961893,0.12475397702274563,0.8699373501251256,0.15032620101281993,0.07774783134386844,0.1844192974153495,0.3270852858481724,0.7401869158878505,0.3279041180086048,0.3288260602335587,0.5208236385479872,0.49686569301260025,0.5184921122720754,0.6507351915172096,0.5044925592386792,0.5921801785361254,0.599145201099469,0.5291608678754232,0.42575445173383314,0.4660934579439253,0.44784265519360783,0.5245564433517722,https://a.espncdn.com/i/headshots/wnba/players/full/1068.png
2026,2284331,Emma Cannon,F,6,Sparks,2,0,3,3,1,1,1,1,0,0,0,0,0,0,0,0,2,2,1802,275,585,219,165,209,69,194,263,142,84,212,296,1.5,1.5,0,0,0,0,1,0,0,1,1,NA,1.5,1.5,36,0,0,0,0,24,0,0,3,0.4400703331054019,1.289123196448391,0,3,0.6666666666666666,2.3390677025527196,0,2.314095449500555,0,1,0,1,1,1.289123196448391,3,3,2.3390677025527196,2.314095449500555,1,0,1,1,1,1,1,2.0539367257881347e-4,2.8741138149070703e-4,1,2.6981816207709e-4,2.6976223574522737e-4,1,NA,0.9987707437000615,3.0731407498463427e-4,0.20098584361301935,0.5537210051546392,0.512138905961893,0.12475397702274563,0.8699373501251256,0.15032620101281993,0.07774783134386844,0.1844192974153495,0.3270852858481724,0.7401869158878505,0.3279041180086048,0.3288260602335587,0.5208236385479872,0.49686569301260025,0.5184921122720754,0.6507351915172096,0.5044925592386792,0.5921801785361254,0.599145201099469,0.5291608678754232,0.42575445173383314,0.4660934579439253,0.44784265519360783,0.5245564433517722,https://a.espncdn.com/i/headshots/wnba/players/full/2284331.png
2026,2327695,Rebekah Gardner,G,9,Liberty,10,0,189,68,26,45,5,14,11,13,7,16,23,16,3,2,9,15,2024,297,649,285,177,204,71,273,344,140,87,229,316,18.9,6.8,2.3,1.6,0.3,0.2,0.9,0.7,1.6,0.5777777777777777,0.35714285714285715,0.8461538461538461,0.6333333333333333,0.6703470031545742,12.952380952380953,4.380952380952381,3.0476190476190474,0.5714285714285714,0.38095238095238093,1.7142857142857142,1.3333333333333333,3.0476190476190474,59.72,0.14555536529226729,112.66847826086956,0.14200955091409,59.72,0.1507032819825854,140.0691699604743,0.04997530864197531,168.08300395256916,0.09519106407995298,0.3111111111111111,0.28888888888888886,50.72,45,112.66847826086956,189,59.72,140.0691699604743,168.08300395256916,14,13,45,45,0.05361275817223973,0.9224567166310705,0.9278084714548803,0.3171689318368215,0.08139987038237201,0.5413791963321356,0.9135182745202456,0.420767418313994,0.6280594405594405,0.640408899579074,0.2587476979742173,0.43388581952117866,0.22213637643936943,0.5456268704192985,0.49281767955801103,0.20159915392003824,0.9192844120306856,0.1511285736328168,0.026978910525859517,0.1102015928408422,0.3339160839160839,0.82501503307276,0.42136279926335174,0.30626151012891345,0.5414786656878927,0.4817975854439699,0.49520620570344326,0.5353616282620299,0.5497659681716713,0.5460117297025181,0.541234652214206,0.5142351181195609,0.5703803771985589,0.423799024520612,0.5663039232100006,0.51635321911565,https://a.espncdn.com/i/headshots/wnba/players/full/2327695.png
2026,2490553,Brittney Griner,C,18,Sun,5,5,126,61,24,47,0,2,13,18,10,13,23,10,4,6,9,12,2200,307,745,218,160,237,107,260,367,163,84,275,359,25.2,12.2,4.6,2,0.8,1.2,1.8,2,2.6,0.5106382978723404,0,0.7222222222222222,0.5106382978723404,0.5553532410779315,17.428571428571427,6.571428571428571,2.857142857142857,1.1428571428571428,1.7142857142857142,2.5714285714285716,2.857142857142857,3.7142857142857144,63.92,0.22050489826204056,63.91363636363637,0.15646113363203185,63.92,0.14080100125156444,109.39090909090909,0.09141527466134795,98.50909090909092,0.13196751568844592,0.0425531914893617,0.3829787234042553,54.92,47,63.91363636363637,126,63.92,109.39090909090909,98.50909090909092,2,18,47,47,0.5913461538461539,0.32025872300023733,0.4883116883116883,0.7873983318862678,0.6342740762292697,0.5247033551554828,0.6230488572759622,0.038391445368630574,0.008032128514056224,0.32801822323462415,0.21904761904761905,0.6458874458874458,0.22272243313641205,0.5655856871587942,0.5207792207792208,0.12336122254069086,0.6729113950091548,0.13809328968903437,0.07540553458344665,0.21911445418178252,0.3493975903614458,0.7334851936218679,0.21558441558441557,0.3800865800865801,0.6070636094674556,0.4441997297741423,0.532967032967033,0.5465561525233654,0.503424274300038,0.503690356288556,0.5337923887319408,0.4851744951134827,0.30491195551436523,0.3538636761871386,0.5770895770895771,0.6203796203796204,https://a.espncdn.com/i/headshots/wnba/players/full/2490553.png
2026,2491205,Skylar Diggins,G,19,Sky,8,8,237,113,38,93,8,27,29,38,6,27,33,40,8,8,12,21,1803,256,622,206,169,223,73,233,306,106,90,267,357,29.625,14.125,4.125,5,1,1,1.5,0.75,3.375,0.40860215053763443,0.2962962962962963,0.7631578947368421,0.45161290322580644,0.514947138169887,17.164556962025316,5.012658227848101,6.075949367088608,1.2151898734177216,1.2151898734177216,1.8227848101265822,0.9113924050632911,4.10126582278481,121.72,0.2241796484036708,130.25291181364392,0.30709486216499327,121.72,0.0985869208018403,223.46089850249584,0.026850335070737155,212.28785357737104,0.12718579770349178,0.2903225806451613,0.40860215053763443,109.72,93,130.25291181364392,237,121.72,223.46089850249584,212.28785357737104,27,38,93,93,0.573004606872837,0.33331602214965955,0.3432780847145488,0.8345645828207586,0.5605314322747894,0.18780170608592148,0.5365533731551673,0.6822696499824664,0.30856643356643354,0.19542994588093807,0.20883977900552486,0.7935543278084715,0.22213637643936943,0.5456268704192985,0.49281767955801103,0.20159915392003824,0.9192844120306856,0.1511285736328168,0.026978910525859517,0.1102015928408422,0.3339160839160839,0.82501503307276,0.42136279926335174,0.30626151012891345,0.5414786656878927,0.4817975854439699,0.49520620570344326,0.5353616282620299,0.5497659681716713,0.5460117297025181,0.541234652214206,0.5142351181195609,0.5703803771985589,0.423799024520612,0.5663039232100006,0.51635321911565,https://a.espncdn.com/i/headshots/wnba/players/full/2491205.png
2026,2491214,Erica Wheeler,G,6,Sparks,9,7,253,77,28,75,8,31,13,17,4,15,19,44,11,1,21,28,1802,275,585,219,165,209,69,194,263,142,84,212,296,28.11111111111111,8.555555555555555,2.111111111111111,4.888888888888889,1.2222222222222223,0.1111111111111111,2.3333333333333335,0.4444444444444444,1.6666666666666667,0.37333333333333335,0.25806451612903225,0.7647058823529411,0.4266666666666667,0.46677982541222113,10.956521739130435,2.7035573122529644,6.260869565217392,1.565217391304348,0.1422924901185771,2.9881422924901186,0.5691699604743083,2.1343873517786562,103.48,0.17999398446540313,165.0493895671476,0.26658686902988715,103.48,0.20293776575183609,197.26137624861266,0.02027766446766911,195.15538290788012,0.07686183069354793,0.41333333333333333,0.22666666666666666,82.48,75,165.0493895671476,253,103.48,197.26137624861266,195.15538290788012,31,17,75,75,0.29216721405426854,0.2388359094538538,0.2440147329650092,0.7494149591947805,0.7886584575502268,0.855539268631384,0.4441928399843991,0.21424504338579675,0.20673076923076922,0.20565243535778713,0.5397790055248619,0.2885819521178637,0.22213637643936943,0.5456268704192985,0.49281767955801103,0.20159915392003824,0.9192844120306856,0.1511285736328168,0.026978910525859517,0.1102015928408422,0.3339160839160839,0.82501503307276,0.42136279926335174,0.30626151012891345,0.5414786656878927,0.4817975854439699,0.49520620570344326,0.5353616282620299,0.5497659681716713,0.5460117297025181,0.541234652214206,0.5142351181195609,0.5703803771985589,0.423799024520612,0.5663039232100006,0.51635321911565,https://a.espncdn.com/i/headshots/wnba/players/full/2491214.png
2026,2529047,Odyssey Sims,G,3,Wings,9,7,165,60,23,47,5,12,9,12,0,8,8,27,8,0,14,13,1798,287,635,221,138,177,81,220,301,90,61,234,295,18.333333333333332,6.666666666666667,0.8888888888888888,3,0.8888888888888888,0,1.5555555555555556,0,0.8888888888888888,0.48936170212765956,0.4166666666666667,0.75,0.5425531914893617,0.5738332058148431,13.090909090909092,1.7454545454545454,5.890909090909091,1.7454545454545454,0,3.0545454545454547,0,1.7454545454545454,66.28,0.17991509354203652,108.68798665183536,0.2484175190997897,66.28,0.2112251056125528,144.53559510567297,0,128.9349276974416,0.06204680254502319,0.2553191489361702,0.2553191489361702,52.28,47,108.68798665183536,165,66.28,144.53559510567297,128.9349276974416,12,12,47,47,0.2779112570811383,0.6318170900333023,0.6996316758747698,0.6550631253231908,0.5274789371354505,0.8800835408997729,0.011269979445542803,0.13673116777771632,0.8068181818181818,0.153337342152736,0.1406998158379374,0.3447513812154696,0.22213637643936943,0.5456268704192985,0.49281767955801103,0.20159915392003824,0.9192844120306856,0.1511285736328168,0.026978910525859517,0.1102015928408422,0.3339160839160839,0.82501503307276,0.42136279926335174,0.30626151012891345,0.5414786656878927,0.4817975854439699,0.49520620570344326,0.5353616282620299,0.5497659681716713,0.5460117297025181,0.541234652214206,0.5142351181195609,0.5703803771985589,0.423799024520612,0.5663039232100006,0.51635321911565,https://a.espncdn.com/i/headshots/wnba/players/full/2529047.png
