season,athlete_id,player,team,position,pos_group,headshot_url,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,fg_pct,fg3_pct,threepar,ft_pct,fta_rate,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile
2026,5105766,Astera Tuhina,Oregon,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5105766.png,34,1,495,14.56,144,4.24,11.64,37,1.09,2.99,1,0.03,0.08,36,1.06,2.91,51,1.5,4.12,22,0.65,1.78,4,0.12,0.32,22,0.65,1.78,0.42,0.34,0.45,0.89,0.14,0.5,0.53,0.16,0.18,0.14,0,0.09,0.16,0.46,0.52,0.74,0.21,0.27,0.02,0.25,0.46,0.89,0.57,0.21,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,5106158,Eliza Maupin,Nebraska,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5106158.png,26,10,460,17.69,191,7.35,16.61,110,4.23,9.57,41,1.58,3.57,69,2.65,6,27,1.04,2.35,17,0.65,1.48,18,0.69,1.57,46,1.77,4,0.51,0.28,0.18,0.77,0.42,0.54,0.59,0.22,0.1,0.22,0.12,0.2,0.36,0.84,0.74,0.59,0.51,0.84,0.56,0.6,0.17,0.76,0.58,0.79,0.22,0.55,0.52,0.09,0.75,0.17,0.11,0.19,0.33,0.68,0.17,0.34,0.43,0.38,0.42,0.47,0.63,0.52,0.5,0.54,0.37,0.48,0.57,0.58
2026,5106169,Amina Muhammad,Oregon,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5106169.png,36,1,411,11.42,129,3.58,12.55,80,2.22,7.79,33,0.92,3.21,47,1.31,4.57,19,0.53,1.85,23,0.64,2.24,5,0.14,0.49,28,0.78,2.73,0.6,NA,0,0.72,0.48,0.6,0.64,0.15,0.08,0.22,0.1,0.14,0.15,0.99,0.96,0.39,0.49,0.8,0.45,0.22,NA,0.64,0.04,0.83,0.22,0.55,0.52,0.09,0.75,0.17,0.11,0.19,0.33,0.68,0.17,0.34,0.43,0.38,0.42,0.47,0.63,0.52,0.5,0.54,0.37,0.48,0.57,0.58
2026,5106182,Tara Daye,Purdue,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5106182.png,30,30,857,28.57,371,12.37,17.32,196,6.53,9.15,61,2.03,2.85,135,4.5,6.3,73,2.43,3.41,37,1.23,1.73,9,0.3,0.42,72,2.4,3.36,0.47,0.34,0.15,0.76,0.37,0.5,0.55,0.24,0.18,0.18,0.09,0.21,0.73,0.61,0.5,0.69,0.59,0.65,0.92,0.94,0.43,0.41,0.1,0.87,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,5106223,T'yana Todd,Ohio State,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5106223.png,35,9,406,11.6,131,3.74,12.91,37,1.06,3.65,14,0.4,1.38,23,0.66,2.27,16,0.46,1.58,16,0.46,1.58,2,0.06,0.2,16,0.46,1.58,0.35,0.27,0.49,0.79,0.18,0.41,0.45,0.19,0.06,0.1,0.04,0.07,0.39,0.07,0.09,0.04,0.1,0.04,0.57,0.09,0.1,0.5,0.63,0.36,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,5106234,Shay Bollin,Wisconsin,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5106234.png,34,4,519,15.26,123,3.62,9.48,73,2.15,5.63,16,0.47,1.23,57,1.68,4.39,50,1.47,3.85,14,0.41,1.08,9,0.26,0.69,37,1.09,2.85,0.38,0.28,0.58,0.84,0.23,0.46,0.51,0.15,0.18,0.23,0.04,0.14,0.15,0.32,0.28,0.71,0.07,0.91,0.53,0.67,0.17,0.73,0.85,0.51,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,5107391,Gracie Merkle,Penn State,C,Center,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5107391.png,26,24,696,26.77,500,19.23,28.74,213,8.19,12.24,90,3.46,5.17,123,4.73,7.07,35,1.35,2.01,6,0.23,0.34,28,1.08,1.61,71,2.73,4.08,0.72,NA,0,0.61,0.38,0.72,0.72,0.28,0.12,0.17,0.17,0.21,0.64,1,1,0.43,0.18,0.62,0.67,0.56,NA,0.29,0.25,0.96,0.25,0.6,0.58,0.13,0.73,0.17,0.13,0.21,0.19,0.66,0.03,0.29,0.54,0.71,0.72,0.53,0.53,0.65,0.53,0.49,0.33,0.56,0.79,0.71
2026,5107484,Mia Jacobs,Oregon,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5107484.png,34,34,913,26.85,422,12.41,18.49,177,5.21,7.75,40,1.18,1.75,137,4.03,6,55,1.62,2.41,42,1.24,1.84,14,0.41,0.61,83,2.44,3.64,0.41,0.36,0.56,0.83,0.39,0.51,0.57,0.24,0.11,0.18,0.06,0.19,0.57,0.6,0.36,0.74,0.83,0.64,0.12,0.52,0.59,0.93,0.95,0.73,0.22,0.55,0.52,0.09,0.75,0.17,0.11,0.19,0.33,0.68,0.17,0.34,0.43,0.38,0.42,0.47,0.63,0.52,0.5,0.54,0.37,0.48,0.57,0.58
2026,5107533,Breauna Ware,Wisconsin,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5107533.png,25,13,420,16.8,135,5.4,12.86,43,1.72,4.1,8,0.32,0.76,35,1.4,3.33,27,1.08,2.57,18,0.72,1.71,2,0.08,0.19,31,1.24,2.95,0.4,0.39,0.33,0.69,0.47,0.46,0.52,0.19,0.12,0.19,0.02,0.11,0.47,0.37,0.26,0.3,0.27,0.76,0.35,0.42,0.75,0.14,0.34,0.96,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,5107687,Marah Dykstra,Michigan St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5107687.png,30,10,342,11.4,97,3.23,11.35,50,1.67,5.85,22,0.73,2.57,28,0.93,3.27,20,0.67,2.34,13,0.43,1.52,7,0.23,0.82,9,0.3,1.05,0.44,0.39,0.58,0.75,0.15,0.56,0.58,0.13,0.09,0.1,0.08,0.11,0.07,0.64,0.79,0.42,0.33,0.04,0.29,0.06,0.82,0.71,0.96,0.03,0.22,0.55,0.52,0.09,0.75,0.17,0.11,0.19,0.33,0.68,0.17,0.34,0.43,0.38,0.42,0.47,0.63,0.52,0.5,0.54,0.37,0.48,0.57,0.58
