season,athlete_id,player,team,position,pos_group,headshot_url,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,fg_pct,fg3_pct,threepar,ft_pct,fta_rate,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile
2026,5109390,Hannah Ronsiek,Colorado St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5109390.png,35,35,1149,32.83,270,7.71,9.4,189,5.4,6.58,5,0.14,0.17,184,5.26,6.41,22,0.63,0.77,53,1.51,1.85,23,0.66,0.8,37,1.06,1.29,0.35,0.32,0.74,0.82,0.13,0.47,0.49,0.15,0.04,0.12,0.01,0.19,0.12,0.36,0.47,0.05,0.9,0.08,0.06,0.95,0.38,0.6,0.96,0.1,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5109755,Kennedy Lee,San Diego St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5109755.png,33,33,791,23.97,306,9.27,15.47,180,5.45,9.1,36,1.09,1.82,144,4.36,7.28,27,0.82,1.37,25,0.76,1.26,9,0.27,0.46,46,1.39,2.33,0.46,0.38,0.46,0.76,0.23,0.55,0.57,0.21,0.07,0.15,0.06,0.22,0.63,0.89,0.86,0.37,0.68,0.33,0.18,0.86,0.92,0.75,0.92,0.42,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,5109816,Sofia Kelemeni,San Diego St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5109816.png,23,0,144,6.26,36,1.57,10,33,1.43,9.17,11,0.48,3.06,22,0.96,6.11,7,0.3,1.94,4,0.17,1.11,2,0.09,0.56,12,0.52,3.33,0.38,0.33,0.53,0.5,0.24,0.47,0.48,0.18,0.09,0.24,0.1,0.19,0.32,0.28,0.47,0.16,0.03,0.88,0.97,0.9,0.46,0.01,0.77,0.52,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5114872,Rachel Wilson,Utah State,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5114872.png,26,11,500,19.23,132,5.08,10.56,104,4,8.32,36,1.38,2.88,68,2.62,5.44,14,0.54,1.12,17,0.65,1.36,12,0.46,0.96,36,1.38,2.88,0.53,0.17,0.06,0.61,0.38,0.54,0.56,0.16,0.07,0.23,0.09,0.17,0.18,0.78,0.8,0.33,0.55,0.74,0.54,0.32,0.08,0.28,0.42,0.67,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,5116363,Nala Williams,San Diego St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5116363.png,32,32,831,25.97,320,10,15.4,139,4.34,6.69,41,1.28,1.97,98,3.06,4.72,133,4.16,6.4,54,1.69,2.6,10,0.31,0.48,53,1.66,2.55,0.45,0.35,0.37,0.75,0.2,0.51,0.54,0.22,0.33,0.15,0.07,0.15,0.56,0.7,0.82,0.97,0.95,0.37,0.9,0.77,0.52,0.33,0.45,0.35,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5174368,Tiara Bolden,Oregon St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5174368.png,35,35,1033,29.51,475,13.57,18.39,176,5.03,6.82,39,1.11,1.51,137,3.91,5.3,58,1.66,2.25,43,1.23,1.67,8,0.23,0.31,70,2,2.71,0.42,0.3,0.35,0.88,0.2,0.48,0.52,0.26,0.13,0.13,0.05,0.15,0.86,0.51,0.51,0.42,0.69,0.27,0.78,0.8,0.26,0.95,0.41,0.31,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5174411,Lucia Navarro,Oregon St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5174411.png,6,0,24,4,2,0.33,3.33,5,0.83,8.33,2,0.33,3.33,3,0.5,5,0,0,0,0,0,0,0,0,0,9,1.5,15,0,NA,0,0.5,1.33,0,0.21,0.3,0,0.65,0.11,0.14,0.97,0,0,0,0,1,1,0.73,NA,0.01,0,1,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5175486,Djessira Diawara,Fresno St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5175486.png,30,14,482,16.07,152,5.07,12.61,131,4.37,10.87,56,1.87,4.65,75,2.5,6.22,8,0.27,0.66,19,0.63,1.58,3,0.1,0.25,43,1.43,3.57,0.48,NA,0,0.62,0.35,0.48,0.51,0.19,0.04,0.22,0.14,0.21,0.38,0.33,0.32,0.05,0.5,0.72,0.83,0.6,NA,0.31,0.04,0.64,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,5175702,McKynnlie Dalan,Gonzaga,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5175702.png,26,0,214,8.23,42,1.62,7.85,46,1.77,8.6,19,0.73,3.55,27,1.04,5.05,8,0.31,1.5,7,0.27,1.31,3,0.12,0.56,17,0.65,3.18,0.3,0.33,0.07,0.81,0.52,0.31,0.43,0.15,0.06,0.26,0.12,0.16,0.12,0.14,0.01,0.28,0.13,0.91,0.72,0.29,0.54,0.9,0.43,0.96,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,5175756,Mia Galbraith,Texas St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5175756.png,30,22,659,21.97,174,5.8,10.56,98,3.27,5.95,40,1.33,2.43,58,1.93,3.52,42,1.4,2.55,24,0.8,1.46,5,0.17,0.3,66,2.2,4.01,0.38,0.23,0.26,0.84,0.26,0.41,0.47,0.18,0.13,0.26,0.08,0.1,0.31,0.26,0.19,0.45,0.52,0.9,0.94,0.4,0.09,0.72,0.23,0.59,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
